axis	prompt	arm	tps	tok	acc	meanlen
reasoning	r3-reasoning.txt	c5_base	63.56	3000	0.60539	3.07
reasoning	r4-reasoning.txt	c5_base	63.26	3000	0.62066	3.01
prose	p1-prose.txt	c5_base	80.39	2279	0.68792	4.39
prose	p2-prose.txt	c5_base	70.69	1068	0.66695	3.60
prose	p3-prose.txt	c5_base	84.03	1151	0.70630	4.53
prose	p4-prose.txt	c5_base	68.63	1021	0.61364	3.48
code	c1-code.txt	c5_base	94.71	3000	0.81772	5.08
code	c2-code.txt	c5_base	89.01	3000	0.75710	4.78
code	c3-code.txt	c5_base	88.31	3000	0.74451	4.79
code	c4-code.txt	c5_base	84.37	3000	0.71776	4.50
recall	k1-recall.txt	c5_base	231.33	498	0.97972	31.19
reasoning	r1-reasoning.txt	c4_base	61.22	3000	0.58901	2.89
reasoning	r2-reasoning.txt	c4_base	59.97	3000	0.56992	2.83
reasoning	r3-reasoning.txt	c4_base	62.25	3000	0.59485	2.97
reasoning	r4-reasoning.txt	c4_base	63.41	3000	0.62547	3.00
prose	p1-prose.txt	c4_base	78.55	2279	0.74912	4.00
prose	p2-prose.txt	c4_base	70.63	1068	0.69761	3.46
prose	p3-prose.txt	c4_base	79.23	1151	0.74141	3.97
prose	p4-prose.txt	c4_base	70.74	1021	0.63889	3.56
code	c1-code.txt	c4_base	88.42	3000	0.85189	4.40
code	c2-code.txt	c4_base	85.56	3000	0.81499	4.26
code	c3-code.txt	c4_base	82.69	3000	0.77370	4.16
code	c4-code.txt	c4_base	82.62	3000	0.77927	4.11
recall	k1-recall.txt	c4_base	229.58	498	0.98770	29.35
reasoning	r1-reasoning.txt	c3_base	60.70	3000	0.59492	2.78
reasoning	r2-reasoning.txt	c3_base	59.33	3000	0.56955	2.74
reasoning	r3-reasoning.txt	c3_base	63.32	3000	0.63047	2.93
reasoning	r4-reasoning.txt	c3_base	63.90	3000	0.64715	2.94
prose	p1-prose.txt	c3_base	72.85	2279	0.80439	3.41
prose	p2-prose.txt	c3_base	69.65	1068	0.75076	3.25
prose	p3-prose.txt	c3_base	73.57	1151	0.80178	3.41
