TYPE    P      VERDICT      hashes W=1..8
f16     256    PURE         daf98ea7d1e2ea55 daf98ea7d1e2ea55 daf98ea7d1e2ea55 daf98ea7d1e2ea55 daf98ea7d1e2ea55 daf98ea7d1e2ea55 daf98ea7d1e2ea55 daf98ea7d1e2ea55 
bf16    256    PURE         9160fca97e066781 9160fca97e066781 9160fca97e066781 9160fca97e066781 9160fca97e066781 9160fca97e066781 9160fca97e066781 9160fca97e066781 
q8_0    256    PURE         8a9f58ccaf311831 8a9f58ccaf311831 8a9f58ccaf311831 8a9f58ccaf311831 8a9f58ccaf311831 8a9f58ccaf311831 8a9f58ccaf311831 8a9f58ccaf311831 
q4_0    256    PURE         a5d2af0c863b8cf4 a5d2af0c863b8cf4 a5d2af0c863b8cf4 a5d2af0c863b8cf4 a5d2af0c863b8cf4 a5d2af0c863b8cf4 a5d2af0c863b8cf4 a5d2af0c863b8cf4 
q4_1    256    PURE         bccfbcd1126b0b9e bccfbcd1126b0b9e bccfbcd1126b0b9e bccfbcd1126b0b9e bccfbcd1126b0b9e bccfbcd1126b0b9e bccfbcd1126b0b9e bccfbcd1126b0b9e 
q5_0    256    PURE         98693387c5470724 98693387c5470724 98693387c5470724 98693387c5470724 98693387c5470724 98693387c5470724 98693387c5470724 98693387c5470724 
q5_1    256    PURE         6dcc3610165acead 6dcc3610165acead 6dcc3610165acead 6dcc3610165acead 6dcc3610165acead 6dcc3610165acead 6dcc3610165acead 6dcc3610165acead 
iq4_nl  256    PURE         12ac2cae6ee6cdf8 12ac2cae6ee6cdf8 12ac2cae6ee6cdf8 12ac2cae6ee6cdf8 12ac2cae6ee6cdf8 12ac2cae6ee6cdf8 12ac2cae6ee6cdf8 12ac2cae6ee6cdf8 
